user_id,user_name,transaction_date,transaction_amount,transaction_category_detail,merchant_name
usr_a1b2c3d4,Jose BazBaz,1/1/2024,-40,CASHBACK_INCOME,Citi Cashback
usr_a1b2c3d4,Jose BazBaz,1/3/2024,172,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,1/3/2024,80,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,1/4/2024,88,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,1/4/2024,138,INSURANCE_FINANCE,State Farm
usr_a1b2c3d4,Jose BazBaz,1/6/2024,-807,FREELANCE_INCOME,PayPal Transfer
usr_a1b2c3d4,Jose BazBaz,1/7/2024,142,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,1/7/2024,121,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,1/7/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,1/9/2024,111,INSURANCE_FINANCE,State Farm
usr_a1b2c3d4,Jose BazBaz,1/10/2024,115,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,1/10/2024,-89,CASHBACK_INCOME,Citi Cashback
usr_a1b2c3d4,Jose BazBaz,1/11/2024,-692,FREELANCE_INCOME,Square Payout
usr_a1b2c3d4,Jose BazBaz,1/17/2024,102,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,1/17/2024,-3736,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,1/18/2024,66,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,1/18/2024,89,UTILITIES_HOUSING,Eversource
usr_a1b2c3d4,Jose BazBaz,1/19/2024,11,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,1/21/2024,198,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,1/21/2024,-5708,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,1/26/2024,60,INTERNET_HOUSING,Spectrum
usr_a1b2c3d4,Jose BazBaz,1/27/2024,-5449,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,1/27/2024,134,GROCERIES_FOOD,Trader Joe's
usr_a1b2c3d4,Jose BazBaz,1/27/2024,-38,CASHBACK_INCOME,Citi Cashback
usr_a1b2c3d4,Jose BazBaz,1/27/2024,146,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,1/29/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,1/29/2024,90,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,1/30/2024,-94,CASHBACK_INCOME,Citi Cashback
usr_a1b2c3d4,Jose BazBaz,1/30/2024,60,INTERNET_HOUSING,Spectrum
usr_a1b2c3d4,Jose BazBaz,1/31/2024,41,RIDESHARE_TRANSPORT,Lyft
usr_a1b2c3d4,Jose BazBaz,2/1/2024,162,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,2/1/2024,52,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,2/2/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,2/2/2024,-966,FREELANCE_INCOME,Stripe Payout
usr_a1b2c3d4,Jose BazBaz,2/2/2024,7,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,2/2/2024,-3633,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,2/3/2024,125,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,2/4/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,2/5/2024,-3911,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,2/6/2024,27,COURSES_EDUCATION,Skillshare
usr_a1b2c3d4,Jose BazBaz,2/7/2024,1550,RENT_HOUSING,Essex Property
usr_a1b2c3d4,Jose BazBaz,2/8/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,2/8/2024,94,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,2/9/2024,12,RIDESHARE_TRANSPORT,Lyft
usr_a1b2c3d4,Jose BazBaz,2/12/2024,55,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,2/12/2024,-36,CASHBACK_INCOME,Citi Cashback
usr_a1b2c3d4,Jose BazBaz,2/13/2024,-65,CASHBACK_INCOME,Amex Reward
usr_a1b2c3d4,Jose BazBaz,2/16/2024,-5253,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,2/16/2024,15,STREAMING_ENTERTAINMENT,Amazon Prime
usr_a1b2c3d4,Jose BazBaz,2/17/2024,26,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,2/17/2024,-5497,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,2/18/2024,45,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,2/19/2024,180,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,2/19/2024,162,UTILITIES_HOUSING,Xcel Energy
usr_a1b2c3d4,Jose BazBaz,2/21/2024,6,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,2/21/2024,102,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,2/21/2024,-88,CASHBACK_INCOME,Chase Cashback
usr_a1b2c3d4,Jose BazBaz,2/22/2024,-23,CASHBACK_INCOME,Discover Cashback
usr_a1b2c3d4,Jose BazBaz,2/22/2024,19,FASTFOOD_FOOD,Popeyes
usr_a1b2c3d4,Jose BazBaz,2/22/2024,17,FASTFOOD_FOOD,Burger King
usr_a1b2c3d4,Jose BazBaz,2/23/2024,159,UTILITIES_HOUSING,Dominion Energy
usr_a1b2c3d4,Jose BazBaz,2/24/2024,186,UTILITIES_HOUSING,Con Edison
usr_a1b2c3d4,Jose BazBaz,2/27/2024,40,RIDESHARE_TRANSPORT,Lyft
usr_a1b2c3d4,Jose BazBaz,2/28/2024,-120,CASHBACK_INCOME,Amex Reward
usr_a1b2c3d4,Jose BazBaz,2/28/2024,60,RIDESHARE_TRANSPORT,Lyft
usr_a1b2c3d4,Jose BazBaz,2/29/2024,15,STREAMING_ENTERTAINMENT,Amazon Prime
usr_a1b2c3d4,Jose BazBaz,2/29/2024,45,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,3/1/2024,112,GROCERIES_FOOD,Aldi
usr_a1b2c3d4,Jose BazBaz,3/1/2024,11,FASTFOOD_FOOD,Taco Bell
usr_a1b2c3d4,Jose BazBaz,3/3/2024,-6694,SALARY_INCOME,Direct Deposit - Employer
usr_a1b2c3d4,Jose BazBaz,3/4/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,3/6/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,3/6/2024,42,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,3/6/2024,154,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,3/7/2024,52,GROCERIES_FOOD,Trader Joe's
usr_a1b2c3d4,Jose BazBaz,3/8/2024,88,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,3/9/2024,55,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,3/10/2024,13,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,3/10/2024,281,GROCERIES_FOOD,Costco
usr_a1b2c3d4,Jose BazBaz,3/11/2024,154,INSURANCE_FINANCE,State Farm
usr_a1b2c3d4,Jose BazBaz,3/11/2024,197,SUPPLIES_PETS,Chewy
usr_a1b2c3d4,Jose BazBaz,3/15/2024,6,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,3/15/2024,1800,RENT_HOUSING,UDR Apartments
usr_a1b2c3d4,Jose BazBaz,3/16/2024,63,COURSES_EDUCATION,MasterClass
usr_a1b2c3d4,Jose BazBaz,3/16/2024,13,FASTFOOD_FOOD,Wendy's
usr_a1b2c3d4,Jose BazBaz,3/17/2024,-6236,SALARY_INCOME,Direct Deposit - Employer
